lokasi_1,lokasi_2,haversine_m,osrm_m,rasio
Bakso Jaya Dewi Sri Pujon,Lalapan sambel uleg 87,17028.1,22364.4,1.3134
Family Guest House Malang,Dam tawang rejeni,29899.8,37492.1,1.2539
Warung Pedas Mbak Menir,Tugu Kuda Diponegoro,15199.3,23267.1,1.5308
Chill coffee,Sumber Alam Ambya'an Desa Wisata Jambuwer,43134.7,69543.2,1.6122
Bukit Nirwana,Rosa Pavilion Syariah near UMM Redpartner,16430.5,21324.9,1.2979
DEPOT IJO ROYO-ROYO,Happy Durian - Durian Coffee and Eatery,23829.3,31029.0,1.3021
Sazara Hotel Batu,Puthuk Tritih,5353.9,7219.2,1.3484
Warung pojok Bu marmi,Rest Area Druju,22758.1,38529.8,1.693
N Sungkar Guest House Syariah,Warung Meme,6932.4,11693.1,1.6867
Guest House Araya,"Grand Miami Hotel, Kepanjen",19471.7,22385.0,1.1496
Desa Wisata Sidorejo Indah ( Dewi Sri ),Alun - Alun Ubalan,24646.0,35580.8,1.4437
BEBEK MLONGSENG,Ampera Talago Baru,3589.2,4691.1,1.307
Depot Shanghai,De Sapphire Hasanah Guesthouse,1872.5,2652.8,1.4167
Taman Kunang Kunang,Warung Sate Gule Bang Tismanto,7922.3,10726.9,1.354
Puthuk Tritih,Taman edukasi D'Embung Park Pandanmulyo,30443.3,36897.4,1.212
"Pondok Wisata Latar Ombo ""L.O.""",Villa Dua Dua Redpartner,9491.0,17858.8,1.8817
Depot Samsin,Javana Homestay,6204.9,9440.4,1.5214
waroeng jagoan,Warung Thoha Fried Chicken,25041.0,27322.7,1.0911
D Maktab Syariah Mitra RedDoorz Malang,Srikandi Guesthouse,2682.6,5348.5,1.9938
Wisata Alam Watu Menyan,RedDoorz Plus near Brawijaya Museum,19850.7,24346.5,1.2265
OYO 1194 Villa Bukit Panderman Residence,Grand Kadaka Syariah,13150.9,18277.0,1.3898
waroeng jagoan,Bakso Rompe,37298.5,41339.6,1.1083
Family Hotel Gradia 1,Q5 STEAK KEPANJEN,29286.7,37410.0,1.2774
Pantai Ngentup,Waroeng Cipoet Khas Jawa,60771.3,97963.9,1.612
Sari Rasa,Bukit Nirwana,22909.0,32321.1,1.4108
Warung Atikah,Coban Jahe 2,32069.7,36525.6,1.1389
Songgoriti Hot Springs,Shakila Guest House,1123.8,1622.6,1.4439
Coban Rendeng,Kusuma Agrowisata Resort & Convention Hotel,52435.5,80517.9,1.5356
Warung Makan Buk Mis,Rest Area 84B Malang Strudel Playland,24342.7,41725.9,1.7141
Warung Bedua,Pantai Goa Pathuk ilang ꦥꦼꦱꦶꦱꦶꦂꦒꦸꦮꦥꦡꦸꦏ꧀ꦅꦭꦁ,57941.9,81433.7,1.4054
Warung TEMA,Warung Makan Pawon Sasak Lombok,3818.6,4696.9,1.23
"Warung ""MANTAB"" spesial Ayam Goreng Laos",Granada Syariah Guest House,11167.2,12390.6,1.1095
