Id_Tempat,Nama_Tempat,Latitude,Longitude,Estimasi_Harga,Sumber_Data
1,Selorejo Hotel & Resort,-7.8807182,112.3619012,294840,Traveloka
2,Grand Pujon View Hotel and Resort,-7.8540616,112.4925233,314885,Traveloka
3,Hotel Panorama,-7.862986,112.481787,393589,Traveloka
4,PHR GT2.BALEKAMBANG PENGINAPAN PANTAI,-8.4028241,112.5408897,150000,Traveloka
5,OYO 3289 Penginapan Dita Family,-8.1591458,112.4592795,68656,Traveloka
6,LG Homestay,-8.1279916,112.5748796,150000,Traveloka
7,Penginapan KaliBiru,-8.1414661,112.5210007,75000,Traveloka
8,RedDoorz @ Sangnala Homestay Pakisaji,-8.0590716,112.6015662,141969,Traveloka
9,House of Melati Syariah,-8.1336264,112.5676024,140000,Traveloka
10,SPOT ON 90797 Sukun Syariah Homestay,-8.0091813,112.6203767,58306,Traveloka
11,Bromo Family Guest House,-8.124673,112.5656321,150000,Traveloka
12,Isro Guest House Syariah /Hotel,-8.1327983,112.5683865,149093,Traveloka
13,Condro Wulan Hostel,-7.9943298,112.6800647,80000,Traveloka
14,Rayana Resort,-7.8525478,112.4933282,220875,Traveloka
15,Villa Panderman Indah,-7.886448,112.514457,230000,Traveloka
16,Kanana Retreat,-7.8751647,112.4829757,1511714,Traveloka
17,Hotel Santoso,-7.822739,112.529112,159067,Traveloka
18,The Batu Hotel & Villas,-7.879328,112.522601,525487,Traveloka
19,Golden Tulip Holland Resort Batu,-7.890884,112.523156,1214876,Traveloka
20,Family Hotel Gradia 2,-7.873523,112.520217,431203,Traveloka
21,Pinky Guest House Hotel & Villa,-7.8696872,112.5156688,98961,Traveloka
22,Hotel Kartika Raya,-7.8654369,112.4959108,150000,Traveloka
23,Hotel Asida,-7.8674991,112.5144631,134771,Traveloka
24,RedDoorz @ Apache Camp,-7.7956762,112.5127066,101202,Traveloka
25,Penginapan Dhilpratis,-8.402901,112.540749,360000,Traveloka
26,Marry Ind,-8.0554451,112.501256,231678,Traveloka
27,RORO Hotel ꦥꦔꦶꦤꦼꦥꦤ꧀ꦫꦫ,-8.0251903,112.4936387,285000,Traveloka
28,Hotel Kawi Surapatha,-8.0264258,112.4921883,800000,Traveloka
29,Villa Dua Dua Redpartner,-7.8991184,112.5290096,104444,Traveloka
30,RedDoorz near Jawa Timur Park 2,-7.8907573,112.5222195,190698,Traveloka
31,Urbanview Hotel Bubusini Batu,-7.8732693,112.5222402,338695,Traveloka
32,Griya Sumber Rejeki Homestay,-7.893541,112.5331669,205648,Traveloka
33,Guest House Syariah NusaIndah 2,-7.9083713,112.5384846,300000,Traveloka
34,Embun Pagi Hostel & Villa,-7.8908127,112.5226317,150000,Traveloka
35,Penginapan di Batu | Roemah YWI,-7.8980813,112.5339835,294916,Traveloka
36,Pohon Inn Hotel,-7.8886052,112.5292964,458549,Traveloka
37,Omah Londo Hotel Luxury,-7.8869778,112.5190906,412776,Traveloka
38,Villa Puncak Pinus And Pool,-7.9068286,112.5241799,650000,Traveloka
39,Hotel Tiara Family Residence Batu by NAP,-7.8809189,112.5279513,257517,Traveloka
40,Family Hotel Gradia 1,-7.873988,112.520363,452898,Traveloka
41,Mutiara Panderman Inn,-7.893812,112.535109,300000,Traveloka
42,RedDoorz Syariah near Batu Night Spectacular 3,-7.9150622,112.5379164,115851,Traveloka
43,Kusuma Agrowisata Resort & Convention Hotel,-7.8835495,112.5146808,657777,Traveloka
44,SPOT ON 1767 Villa Anggur Panderman,-7.8930881,112.5133572,65214,Traveloka
45,Hotel Prima Asri 153,-7.8815488,112.5241424,219000,Traveloka
46,RedDoorz @ Omahku Guest House Batu,-7.8855692,112.5159515,276364,Traveloka
47,OYO 1194 Villa Bukit Panderman Residence,-7.8926772,112.5130195,182484,Traveloka
48,Lancar Homestay Syariah,-7.897118,112.5309603,150000,Traveloka
49,Batuque Town Villa 2,-7.8861227,112.5144261,218182,Traveloka
50,Seulawah Resort & Cafe,-7.867537,112.505548,419661,Traveloka
51,BaliKu Guest House,-7.8812844,112.5201419,245700,Traveloka
52,Pondok Wisata Ilona,-7.8839756,112.5185207,388082,Traveloka
53,Amartahills Hotel and Resort,-7.8893114,112.5143305,450000,Traveloka
54,Alam Batu Village,-7.8779029,112.520874,247413,Traveloka
55,Urbanview Syariah Kanigara Guesthouse,-7.8752511,112.5185752,314618,Traveloka
56,Kontena Hotel,-7.8816859,112.529298,410244,Traveloka
57,Hidden Paradiso Hotel,-7.8750799,112.5261855,244250,Traveloka
58,Seulawah Grand View,-7.867297,112.50413,435046,Traveloka
59,Horison Trunojoyo,-7.8659894,112.5084367,360258,Traveloka
60,Shakila Guest House,-7.8638242,112.5037865,194042,Traveloka
61,RedDoorz Plus @ Villa Bontes Batu,-7.8690103,112.5033129,156020,Traveloka
62,"Bobocabin Coban Rondo, Malang",-7.8703726,112.4867719,813000,Traveloka
63,SR Guesthouse,-7.8630288,112.5116416,173966,Traveloka
64,HOTEL GRAND PALEM,-7.865462,112.507782,209044,Traveloka
65,Amaranta Guest House,-7.8683985,112.5061635,486035,Traveloka
66,Penginapan Songgoriti Kota Batu,-7.8651521,112.4982435,65000,Traveloka
67,RedDoorz Plus near Balai Kota Batu 2,-7.8650022,112.506961,180000,Traveloka
68,Three Eight Front One Boutique Hotel Batu,-7.8678688,112.5103081,342604,Traveloka
69,Royal Hotel & Villa Batu,-7.864825,112.5108111,452230,Traveloka
70,Hotel Aster,-7.8662647,112.5090382,280000,Traveloka
71,éL Hotel Kartika Wijaya Batu,-7.867045,112.511201,460972,Traveloka
72,Hotel Batu Permai,-7.8678425,112.5098974,300000,Traveloka
73,Homestay Sekar Gambir,-7.858751,112.5081121,199252,Traveloka
74,The Onsen Hot Spring Resort Songgoriti,-7.8633497,112.5002782,1446507,Traveloka
75,Homestay Gafisa 2,-7.861691,112.4986085,250000,Traveloka
76,Arumdalu Hotel,-7.8650518,112.4942176,150000,Traveloka
77,RedDoorz Plus near Songgoriti Temple,-7.8652469,112.5030028,200000,Traveloka
78,Hotel Trisno Putra,-7.8643077,112.5049755,100000,Traveloka
79,Rosetta Villa & Homestay,-7.8659277,112.5021694,215000,Traveloka
80,Vila BIRU Songgoriti,-7.8638032,112.4946451,80000,Traveloka
81,Villa Waskita,-7.8628237,112.4953738,400000,Traveloka
82,Panorama İnn Residence,-7.8659717,112.5145741,393589,Traveloka
83,Gress Villa,-7.8648755,112.4911326,168591,Traveloka
84,Villa Amigo 2,-7.8636173,112.4949375,150000,Traveloka
85,Villa Arumdalu 24 A Songgoriti,-7.8632911,112.4953165,200000,Traveloka
86,Urbanview Hotel Sky Batu Malang by RedDoorz,-7.8315996,112.5290026,252961,Traveloka
87,RedDoorz near Taman Rekreasi Selecta,-7.8192875,112.5271789,144471,Traveloka
88,Hotel Palem Sari Syariah Batu RedPartner,-7.8414261,112.5282655,161430,Traveloka
89,Mustika Sari Hotel,-7.8376089,112.5279191,114825,Traveloka
90,Bata Merah Guest House & Camping Ground,-7.8415405,112.5201514,303301,Traveloka
91,Spencer Green Hotel Batu,-7.833325,112.528949,223784,Traveloka
92,DeView Hotel by PRO,-7.8300494,112.5291106,150934,Traveloka
93,Cemara Resort & Cafe,-7.8200255,112.5302097,150000,Traveloka
94,d'homestay,-8.4029821,112.5371211,285000,Traveloka
95,"Grand Miami Hotel, Kepanjen",-8.0981506,112.5836578,550000,Traveloka
96,D'SHARIO HOTEL,-8.1031534,112.5803401,204132,Traveloka
97,Losmen Ryan't,-8.1286448,112.5640383,532871,Traveloka
98,Penginapan Central,-8.0259202,112.4934309,219250,Traveloka
99,Indah Jaya Hotel,-8.0250255,112.4934779,150000,Traveloka
100,Penginapan Miki Gunung Kawi,-8.0262715,112.4935084,448998,Traveloka
101,Lembah Indah Malang,-8.0010748,112.4935456,1078009,Traveloka
102,Rayz UMM Hotel Malang,-7.9207769,112.593717,510768,Traveloka
103,Ador 46 Homestay Syariah & Kost Harian Kota Malang,-7.9803697,112.5993504,70000,Traveloka
104,Dahlia Homestay Syariah,-7.9130631,112.584605,115000,Traveloka
105,Hotel Radho Syariah malang,-7.91585,112.5869394,160000,Traveloka
106,Nusa Indah Homestay,-7.9085214,112.5385739,203547,Traveloka
107,Lovina Inn Batu,-7.9151623,112.5386075,250000,Traveloka
108,Mitra Guest House Syariah,-7.901089,112.5587072,151271,Traveloka
109,RINDANG Glamping,-7.9167439,112.5328379,1129873,Traveloka
110,Urbanview Hotel Ling near Jawa Timur Park 2,-7.8958482,112.5330614,133002,Traveloka
111,Super OYO 604 Cemara's Homestay,-7.8959831,112.5338066,182496,Traveloka
112,Sinergi Hotel dan Villa,-7.9172974,112.5672284,396694,Traveloka
113,Redjeki Guesthouse Cafe Batu - Reddoorz near Jatim Park 3,-7.904108,112.5657952,280696,Traveloka
114,Grand Dream Cita Mandiri Syariah,-7.9017468,112.5586124,247666,Traveloka
115,RedDoorz Syariah near Batu Night Spectacular,-7.8965813,112.5326265,115851,Traveloka
116,GUEST HOUSE PALEM ASRI,-7.8940054,112.5350983,268595,Traveloka
117,Penginapan Kenkei,-7.8941804,112.5328322,50000,Traveloka
118,Penginapan murah di batu malang,-7.8932588,112.5319777,65291,Traveloka
119,OYO 90828 Ara Guest House,-7.892595,112.5320293,194237,Traveloka
120,Penginapan Farel,-7.9075157,112.5404111,50000,Traveloka
121,Kahan Homestay,-7.8946447,112.53302,176740,Traveloka
122,RedDoorz @ Oro Oro Ombo Batu,-7.893956,112.534917,115000,Traveloka
123,Batuque Town Villa,-7.8956999,112.5335962,273729,Traveloka
124,Farbel Homestay,-7.9068781,112.5418277,1500000,Traveloka
125,RedDoorz near Eco Green Park Batu,-7.8850662,112.530885,90808,Traveloka
126,Griya Rahayu Guesthouse RedPartner near Jatim Park 2 Batu,-7.8860302,112.5330945,106000,Traveloka
127,Mama Homestay,-7.8943351,112.5309608,100000,Traveloka
128,Omah Anin Guest House Batu,-7.886067,112.5306464,195612,Traveloka
129,Griya Imafa Inn RedPartner near Jatim Park 2,-7.8874171,112.5305526,153125,Traveloka
130,AKBAR 3 Homestay,-7.8961977,112.531503,150000,Traveloka
131,Batu View Villa,-7.8943651,112.5187564,1500000,Traveloka
132,Guest house syariah KaGami,-7.8967343,112.532726,199091,Traveloka
133,Reddoorz near dino park,-7.8873944,112.5435124,282293,Traveloka
134,Kaluna Resort & Cafe,-7.8867996,112.5448713,246300,Traveloka
135,Villa Villi,-7.8942353,112.5346554,366736,Traveloka
136,Family Homestay Arya,-7.8960613,112.5321019,220925,Traveloka
137,HANSEL HOMESTAY Dekat BNS Kota Batu,-7.8943095,112.5424845,300000,Traveloka
138,Villa Panderman View Di Batu,-7.890916,112.5225929,300000,Traveloka
139,Grand Batu Inn,-7.8841755,112.52928,281828,Traveloka
140,Sea Villa Kota Batu,-7.8967642,112.5373146,1000000,Traveloka
141,RedDoorz near Alun Alun Batu 2,-7.8733855,112.5264017,226896,Traveloka
142,THE HALONA VILLA BATU,-7.8638422,112.5351446,149835,Traveloka
143,Griya Mulya near Alun Alun Batu RedPartner,-7.8616786,112.5222706,147818,Traveloka
144,Harwin Homestay Keluarga,-7.8644947,112.5391843,70000,Traveloka
145,Sahabat Backpacker 1 Alegria Inn,-7.8754354,112.5183772,86241,Traveloka
146,RedDoorz @ Pandan Inn Batu,-7.8647197,112.5396846,170000,Traveloka
147,Hotel Arjuna Kota Batu,-7.869495,112.5212373,379770,Traveloka
148,Sahabat Backpacker 2 /Matabean Inn,-7.8800943,112.5257244,147420,Traveloka
149,Guest House 180,-7.876368,112.5280063,250619,Traveloka
150,Arimbi Guest House,-7.8797695,112.5349478,240000,Traveloka
151,Bayleaf Guest House Syariah Batu,-7.8766722,112.5333826,389204,Traveloka
152,Hotel Mutiara Baru,-7.8682249,112.5161982,370000,Traveloka
153,BATU INDAH POOL VILLA,-7.8799367,112.531395,400000,Traveloka
154,Sahar Backpacker,-7.8757656,112.5242683,85000,Traveloka
155,Apple Green Hotel Batu,-7.8775531,112.5327902,267480,Traveloka
156,Pondok Jatim Park Hotel and Cafe,-7.8821966,112.5254605,293334,Traveloka
157,Gendhis Batu Boutique Hotel,-7.8701068,112.5235276,1593528,Traveloka
158,Tripletree Ciptaningati Culture Hotel,-7.8757527,112.5339069,238936,Traveloka
159,Zavier Guest House,-7.8805981,112.5306258,377703,Traveloka
160,Hotel de Wahyu Batu,-7.8684114,112.5167129,272727,Traveloka
161,Hanoman Kota Batu,-7.8608203,112.5270133,717973,Traveloka
162,Purnama Hotel,-7.8406214,112.5279657,600000,Traveloka
163,Lembah Metro Resort,-7.8579484,112.5218856,1982645,Traveloka
164,Hotel Wijaya,-7.830803,112.5295105,460972,Traveloka
165,Hotel Grand City Batu,-7.8493019,112.5281477,299106,Traveloka
166,Kintamani 360 Villa & Guest House Syariah,-7.8610678,112.5340847,600000,Traveloka
167,Hotel Filadelfia Gallery Resort,-7.8622786,112.5270715,388430,Traveloka
168,Villa Melinda Home Stay,-7.821476,112.530322,1500000,Traveloka
169,Oak Tree Glamping Resort,-7.8656221,112.5264326,710100,Traveloka
170,Bliss Family Cottage Batu,-7.8497878,112.5295807,300000,Traveloka
171,Wisma Wisata Wiratama,-7.8622157,112.5289752,263718,Traveloka
172,The New Handayani Villa's,-7.8192894,112.5271765,137826,Traveloka
173,Hotel Transformer Center,-7.8644231,112.5335211,379603,Traveloka
174,Panorama Villas Batu,-7.8653393,112.5151444,144978,Traveloka
175,Parama Guest House,-7.8318286,112.528307,87000,Traveloka
176,Hotel Selecta,-7.822375,112.52702,390000,Traveloka
177,Sazara Hotel Batu,-7.8121121,112.5262441,143108,Traveloka
178,Mutu Edutel,-8.1714564,112.6429443,250000,Traveloka
179,SAFIRA HOMESTAY PANTAI UNGAPAN,-8.4376658,112.6434341,71612,Traveloka
180,ELTARI Pine House,-7.9984987,112.6776793,80000,Traveloka
181,Hotel YNO Castle Kepanjen,-8.1316576,112.5696743,344000,Traveloka
182,Core Inn Juwita Hotel,-8.1250395,112.5651574,149093,Traveloka
183,Hotel Gerbang Biru,-8.125106,112.558275,57212,Traveloka
184,Grand Kanjuruhan Hotel,-8.1080295,112.5786367,149093,Traveloka
185,Mirabell Hotel & Convention Hall,-8.1146656,112.5753498,315315,Traveloka
