Id_Tempat,Nama_Tempat,Rating,Jumlah_Ulasan,Kategori,Latitude,Longitude,Link,Menu_Termurah,Harga_Termurah,Menu_Termahal,Harga_Termahal,Harga_Median,Status,Estimasi_Harga,Sumber_Data,Link_Sumber
1,Depot 2 Legenda,4.5,917,Wisata Umum,-7.9399474,112.6356553,https://www.google.com/maps/place/Depot+2+Legenda/data=!4m7!3m6!1s0x2dd6294f867379bf:0xd561c4c1ed59d03e!8m2!3d-7.9399474!4d112.6356553!16s%2Fg%2F11np2jfyhl!19sChIJv3lzhk8p1i0RPtBZ7cHEYdU?authuser=0&hl=id&rclk=1,Telur Dadar,7692,Nasi Putih Dengan Potongan Ayam Ber Saus Spicy Spices (Hampir Seperti Balado Namun Sedikit Lebih Pedas),41538,35385,Sukses,35385,GoFood,https://gofood.co.id/malang/restaurant/depot-2-legenda-jl-candi-penataran-0add4191-d600-4e8c-94b9-ec8b8608683a
2,Depot Semangkok,4.3,478,Wisata Umum,-7.9385565,112.6372841,https://www.google.com/maps/place/Depot+Semangkok/data=!4m7!3m6!1s0x2dd6292fcd1e3bb3:0x845c1bb7f8a1883b!8m2!3d-7.9385565!4d112.6372841!16s%2Fg%2F11shgyn790!19sChIJszsezS8p1i0RO4ih-LcbXIQ?authuser=0&hl=id&rclk=1,Nasi Putih,6000,Nasi Lemak Peranakan Daging Rendang,37500,25000,Sukses,25000,GoFood,https://gofood.co.id/malang/restaurant/depot-semangkok-53170370-eecf-41d6-b35c-893d87f01128
3,Rumah Makan Hok Lay,4.4,4519,Wisata Umum,-7.9845499,112.6342841,https://www.google.com/maps/place/Rumah+Makan+Hok+Lay/data=!4m7!3m6!1s0x2dd62816fc6ce6a1:0xbd8ae99a351756db!8m2!3d-7.9845499!4d112.6342841!16s%2Fg%2F1hc27xwkc!19sChIJoeZs_BYo1i0R21YXNZrpir0?authuser=0&hl=id&rclk=1,Beras Yang Dimasak Dengan Air.,6500,"Paket Berisi Babi Kriuk, Babi Panggang Manis, Dan Ayam Panggang )",187500,43750,Sukses,43750,GoFood,https://gofood.co.id/surabaya/restaurant/hok-lay-sioke-siobak-perum-rayan-regency-f7d21cea-9788-48e2-beb9-f99eb7dce1c8
4,Depot Gang Djangkrik,4.5,4159,Wisata Umum,-7.9568232,112.6384586,https://www.google.com/maps/place/Depot+Gang+Djangkrik/data=!4m7!3m6!1s0x2dd629ccb44e93d1:0xe25e48bbb7b52898!8m2!3d-7.9568232!4d112.6384586!16s%2Fg%2F1hc0t1vtz!19sChIJ0ZNOtMwp1i0RmCi1t7tIXuI?authuser=0&hl=id&rclk=1,Air Mineral 600 ML,8470,Ayam panggang jemur kering dengan krupuk dan bubuk ngohiang (1/2 ekor),169400,65714,Sukses,65714,GoFood,https://gofood.co.id/malang/restaurant/depot-gang-djangkrik-letjen-sutoyo-33c9e216-703f-4b64-ba59-b5d533e7411a
5,Melati Restaurant,4.7,1255,Wisata Umum,-7.9770541,112.6328693,https://www.google.com/maps/place/Melati+Restaurant/data=!4m7!3m6!1s0x2dd6282499d64ebd:0xffbdf14dbf67017!8m2!3d-7.9770541!4d112.6328693!16s%2Fg%2F1hm4w0xyn!19sChIJvU7WmSQo1i0RF3D22xTf-w8?authuser=0&hl=id&rclk=1,Nasi Ayam Lalapan +minum Buah,26000,Ikan Rica2+nasi+minun,60000,36000,Sukses,36000,GoFood,https://gofood.co.id/malang/restaurant/depot-melati-98c599a9-c370-491b-b823-e8bd2b7b02a4
6,Depot Santai,4.4,610,Wisata Umum,-7.9667822,112.6289912,https://www.google.com/maps/place/Depot+Santai/data=!4m7!3m6!1s0x2dd6282dd45d9b65:0x26c47845ab33d2a7!8m2!3d-7.9667822!4d112.6289912!16s%2Fg%2F1pzs96st6!19sChIJZZtd1C0o1i0Rp9Izq0V4xCY?authuser=0&hl=id&rclk=1,Nasi Mawut,44000,Fuyung Hay,56000,50000,Sukses,50000,GoFood,https://gofood.co.id/malang/restaurant/depot-santai-oro-oro-dowo-dbbb839b-2ea0-4185-90ce-859823860d7d
7,Depot Asem Djawa,4.8,57,Wisata Umum,-7.9373203,112.5795874,https://www.google.com/maps/place/Depot+Asem+Djawa/data=!4m7!3m6!1s0x2e7883a0ee77d221:0xb957bdaea9d84e8d!8m2!3d-7.9373203!4d112.5795874!16s%2Fg%2F11tfg3s49h!19sChIJIdJ37qCDeC4RjU7Yqa69V7k?authuser=0&hl=id&rclk=1,Es Teh Manis Biasa,7000,Nasi goreng dengan toping ayam katsu,34000,25000,Sukses,25000,GoFood,https://gofood.co.id/malang/restaurant/depot-asem-djawa-lowokwaru-fdb463e8-b041-48d2-91f1-35ad90b8ba5d
8,Depot Dua Satu,4.5,703,Wisata Umum,-7.9675082,112.628995,https://www.google.com/maps/place/Depot+Dua+Satu/data=!4m7!3m6!1s0x2dd6282e6251e2d1:0x89adede8730055!8m2!3d-7.9675082!4d112.628995!16s%2Fg%2F11b6d61n4w!19sChIJ0eJRYi4o1i0RVQBz6O2tiQA?authuser=0&hl=id&rclk=1,Nasi Putih,6000,Sop Kepiting Asparagus,80000,46000,Sukses,46000,GoFood,https://gofood.co.id/malang/restaurant/depot-dua-satu-oro-oro-dowo-1cd42826-538d-4e54-b15f-be21b9a892fb
9,Warung Wareg,4.4,6404,Warung Wareg,-7.9111853,112.6221773,https://www.google.com/maps/place/Warung+Wareg/data=!4m7!3m6!1s0x2dd62a062f3653d5:0xb3ee7854252aded6!8m2!3d-7.9111853!4d112.6221773!16s%2Fg%2F1hm2sh_zj!19sChIJ1VM2LwYq1i0R1t4qJVR47rM?authuser=0&hl=id&rclk=1,Aqua Botol,11265,Bakar Pedes Manis Wenuk Pol,130300,40084,Sukses,40084,GoFood,https://gofood.co.id/malang/restaurant/warung-wareg-batu-51fb652d-45f4-4927-b97d-a81611d2f14a
10,Rawon Nguling,4.5,8062,Wisata Umum,-7.983913,112.6339805,https://www.google.com/maps/place/Rawon+Nguling/data=!4m7!3m6!1s0x2dd62817afb467a1:0x9f1cbddd2a00a394!8m2!3d-7.983913!4d112.6339805!16s%2Fg%2F1hdz1qjlt!19sChIJoWe0rxco1i0RlKMAKt29HJ8?authuser=0&hl=id&rclk=1,Mendol,5200,Rawon 1 Porsi + Sambal + Kecambah,157500,34400,Sukses,34400,GoFood,https://gofood.co.id/malang/restaurant/rawon-nguling-k-h-zainul-arifin-7f6ffb26-387a-49b7-bfd6-e81ef17a9a56
