Id_Tempat,Nama_Tempat,Rating,Jumlah_Ulasan,Kategori,Latitude,Longitude,Link,Estimasi_Harga,Sumber_Data,Link_Sumber
1,Air Terjun Grojogan Sewu Pujon,4.4,1141,Wisata Umum,-7.8664128,112.4233498,https://www.google.com/maps/place/Air+Terjun+Grojogan+Sewu+Pujon/data=!4m7!3m6!1s0x2e7887a1073e1ce7:0x4fdbae6fe33510b0!8m2!3d-7.8664128!4d112.4233498!16s%2Fg%2F11b6_nvy3v!19sChIJ5xw-B6GHeC4RsBA142-u208?authuser=0&hl=id&rclk=1,2000,24travel.id,https://24travel.id/coban-grojogan-sewu-malang/?srsltid=AfmBOoofEbYemnMRVafsOhx1bqD697DBA1UVAPlqHhXpHsCYHhJMtquN
2,Waduk selorejo,4.6,38,Taman · 49C7+J3W,-7.878545,112.3624967,https://www.google.com/maps/place/Waduk+selorejo/data=!4m7!3m6!1s0x2e7889e9f7f5203b:0xed5500376a5f2e2a!8m2!3d-7.878545!4d112.3624967!16s%2Fg%2F11s1tsjmhm!19sChIJOyD19-mJeC4RKi5fajcAVe0?authuser=0&hl=id&rclk=1,20000,traveloka.com,https://www.traveloka.com/id-id/explore/destination/waduk-selorejo-di-jawa-timur-acc/410639
3,TRANS Wisata Belah Duren,4.1,86,TRANS Wisata Belah Duren,-7.7807735,112.3467097,https://www.google.com/maps/place/TRANS+Wisata+Belah+Duren/data=!4m7!3m6!1s0x2e7863116fa98781:0xdaa840953274420d!8m2!3d-7.7807735!4d112.3467097!16s%2Fg%2F11g2sj5qcy!19sChIJgYepbxFjeC4RDUJ0MpVAqNo?authuser=0&hl=id&rclk=1,25000,instagram.com,https://www.instagram.com/p/DWDZT_8gadV/
4,Candi Bocok,4.7,21,Tujuan Wisata · 586F+GJH,-7.8386963,112.3241245,https://www.google.com/maps/place/Candi+Bocok/data=!4m7!3m6!1s0x2e7861558760921b:0xd2041c0c566354e7!8m2!3d-7.8386963!4d112.3241245!16s%2Fg%2F11g0gpsyqk!19sChIJG5Jgh1VheC4R51RjVgwcBNI?authuser=0&hl=id&rclk=1,5000,tirtajayatravel.com,https://tirtajayatravel.com/29-wisata-edukasi-malang-cocok-buat-anak/
5,Kasembon Park,4.4,948,Wisata Umum,-7.781962,112.3103874,https://www.google.com/maps/place/Kasembon+Park/data=!4m7!3m6!1s0x2e786149e41ee293:0x5df94a282b525130!8m2!3d-7.781962!4d112.3103874!16s%2Fg%2F11cjk589_3!19sChIJk-Ie5ElheC4RMFFSKyhK-V0?authuser=0&hl=id&rclk=1,12000,matic.malangkab.go.id,https://matic.malangkab.go.id/listing/kasembon-park-k-park
6,Fishing Sultan Class,4.9,41,Tujuan Wisata · ,-7.8634029,112.3749716,https://www.google.com/maps/place/Fishing+Sultan+Class/data=!4m7!3m6!1s0x2e7889a3a591a8f7:0xb35514a9b10fd516!8m2!3d-7.8634029!4d112.3749716!16s%2Fg%2F11ny3h5c1f!19sChIJ96iRpaOJeC4RFtUPsakUVbM?authuser=0&hl=id&rclk=1,5000,id.trip.com,https://id.trip.com/travel-guide/attraction/ngantang/fishing-sultan-class-142577799?scene=gsDestination
7,Candi Sapto,4.4,35,Tujuan Wisata · ,-7.8130262,112.3254113,https://www.google.com/maps/place/Candi+Sapto/data=!4m7!3m6!1s0x2e7861791d2a5b43:0x8d04124eb56735f!8m2!3d-7.8130262!4d112.3254113!16s%2Fg%2F11f__79n8d!19sChIJQ1sqHXlheC4RX3NW6yRB0Ag?authuser=0&hl=id&rclk=1,5000,pikiran-rakyat.com,https://www.pikiran-rakyat.com/gaya-hidup/pr-018986465/8-candi-di-malang-alamat-dan-harga-tiket-masuk?page=all
8,"Wisata Bukit Gandrung, Tanggulasi",4.4,2171,"Wisata Bukit Gandrung, Tanggulasi",-7.761606,112.348711,"https://www.google.com/maps/place/Wisata+Bukit+Gandrung,+Tanggulasi/data=!4m7!3m6!1s0x2e786411acd09b93:0xbf6680c49cadedee!8m2!3d-7.761606!4d112.348711!16s%2Fg%2F11c5_ymx2w!19sChIJk5vQrBFkeC4R7u2tnMSAZr8?authuser=0&hl=id&rclk=1",10000,surabaya.kompas.com,https://surabaya.kompas.com/read/2023/09/28/211200878/bukit-gandrung-di-kediri-daya-tarik-harga-tiket-jam-buka-dan-rute
9,Air Terjun Coban Rondo Pujon,4.5,12340,Wisata Umum,-7.8846458,112.4768237,https://www.google.com/maps/place/Air+Terjun+Coban+Rondo+Pujon/data=!4m7!3m6!1s0x2e7887009890ac2f:0x9f46ac987d3e2274!8m2!3d-7.8846458!4d112.4768237!16s%2Fg%2F113qbkqbp!19sChIJL6yQmACHeC4RdCI-fZisRp8?authuser=0&hl=id&rclk=1,5000,tiket.com,https://www.tiket.com/id-id/to-do/air-terjun-coban-rondo
10,Taman Wisata Blendrang,4.3,533,Taman Wisata Blendrang,-7.859486,112.367841,https://www.google.com/maps/place/Taman+Wisata+Blendrang/data=!4m7!3m6!1s0x2e7889da210c07bb:0x9bf5ec0a22a87100!8m2!3d-7.859486!4d112.367841!16s%2Fg%2F11gcn67z_8!19sChIJuwcMIdqJeC4RAHGoIgrs9Zs?authuser=0&hl=id&rclk=1,10000,radarmalang.jawapos.com,https://radarmalang.jawapos.com/wisata-kuliner/816576405/5-tempat-wisata-murah-meriah-di-malang-untuk-keluarga
11,Taman Wisata Selorejo,4.2,4555,Taman Wisata Selorejo,-7.8773978,112.3610311,https://www.google.com/maps/place/Taman+Wisata+Selorejo/data=!4m7!3m6!1s0x2e7889bf02165557:0x813f336020e97529!8m2!3d-7.8773978!4d112.3610311!16s%2Fg%2F11cn3rwbrv!19sChIJV1UWAr-JeC4RKXXpIGAzP4E?authuser=0&hl=id&rclk=1,13000,travelspromo.com,https://travelspromo.com/htm-wisata/taman-wisata-selorejo-malang/
12,Air Terjun Coban Kethak,4.1,713,Wisata Umum,-7.8028103,112.3569176,https://www.google.com/maps/place/Air+Terjun+Coban+Kethak/data=!4m7!3m6!1s0x2e78616e91d97fff:0xed38d1626417a36e!8m2!3d-7.8028103!4d112.3569176!16s%2Fg%2F11b6g99tc8!19sChIJ_3_ZkW5heC4RbqMXZGLROO0?authuser=0&hl=id&rclk=1,5000,travelspromo.com,https://travelspromo.com/htm-wisata/coban-kethak-malang/
13,Bukit Nirwana,4.4,1282,Tujuan Wisata · ,-7.8617098,112.4600165,https://www.google.com/maps/place/Bukit+Nirwana/data=!4m7!3m6!1s0x2e7887a7729d0319:0xdd4ad7e0ecb9ecb3!8m2!3d-7.8617098!4d112.4600165!16s%2Fg%2F11gjn8q9cj!19sChIJGQOdcqeHeC4Rs-y57ODXSt0?authuser=0&hl=id&rclk=1,10000,traveloka.com,https://www.traveloka.com/id-id/explore/destination/bukit-nirwana-acc/395954
14,Bukit Teletubbies Batu,4.4,827,Wisata Umum,-7.85376,112.5395231,https://www.google.com/maps/place/Bukit+Teletubbies+Batu/data=!4m7!3m6!1s0x2e7880a4c4c33f49:0x72cc357790451e04!8m2!3d-7.85376!4d112.5395231!16s%2Fg%2F11c54d32lq!19sChIJST_DxKSAeC4RBB5FkHc1zHI?authuser=0&hl=id&rclk=1,15000,glints.com,https://glints.com/id/lowongan/tempat-wisata-di-malang/
15,Brakseng,4.7,1241,Wisata Umum,-7.7552845,112.5405447,https://www.google.com/maps/place/Brakseng/data=!4m7!3m6!1s0x2e7879501006adb3:0x52cb5f75d2f60c8e!8m2!3d-7.7552845!4d112.5405447!16s%2Fg%2F11c70cdm0f!19sChIJs60GEFB5eC4Rjgz20nVfy1I?authuser=0&hl=id&rclk=1,10000,traveloka.com,https://www.traveloka.com/id-id/explore/destination/brakseng-kota-batu-trp/598440
16,Wisata Rafting Kali Uceng Desa Kasembon,4.5,125,Wisata Umum,-7.7886842,112.3124052,https://www.google.com/maps/place/Wisata+Rafting+Kali+Uceng+Desa+Kasembon/data=!4m7!3m6!1s0x2e786126b1f3bd4b:0xe4935c601a108f1c!8m2!3d-7.7886842!4d112.3124052!16s%2Fg%2F11ht04tq4q!19sChIJS73zsSZheC4RHI8QGmBck-Q?authuser=0&hl=id&rclk=1,175000,instagram.com,https://www.instagram.com/reel/DLRspEGRMKQ/
17,Desa Wisata Pujonkidul,4.5,6581,Desa Wisata Pujonkidul,-7.8557059,112.4558603,https://www.google.com/maps/place/Desa+Wisata+Pujonkidul/data=!4m7!3m6!1s0x2e78878faaaaaaab:0x4be58f3cd7ca4dfe!8m2!3d-7.8557059!4d112.4558603!16s%2Fg%2F11f2w5s8vq!19sChIJq6qqqo-HeC4R_k3K1zyP5Us?authuser=0&hl=id&rclk=1,13000,travel.kompas.com,https://travel.kompas.com/read/2024/03/29/123700327/harga-dan-jam-buka-desa-wisata-pujon-kidul-malang
18,Taman Kemesraan,4.5,2768,Taman Kemesraan,-7.8620838,112.4278752,https://www.google.com/maps/place/Taman+Kemesraan/data=!4m7!3m6!1s0x2e78897662fd56d5:0xeddaf0f676a6d32a!8m2!3d-7.8620838!4d112.4278752!16s%2Fg%2F11fr5vmvw2!19sChIJ1Vb9YnaJeC4RKtOmdvbw2u0?authuser=0&hl=id&rclk=1,15000,travel.kompas.com,https://travel.kompas.com/read/2024/04/11/220500927/harga-tiket-lokasi-dan-jam-buka--taman-kemesraan-pujon-malang?page=all
19,Pemandian Sumber Seger Waras,4.6,31,Tujuan Wisata · 498P+HF5,-7.8847654,112.3854439,https://www.google.com/maps/place/Pemandian+Sumber+Seger+Waras/data=!4m7!3m6!1s0x2e788925e2232451:0xe0e12fd44fd9e0e7!8m2!3d-7.8847654!4d112.3854439!16s%2Fg%2F11t_t62j2m!19sChIJUSQj4iWJeC4R5-DZT9Qv4eA?authuser=0&hl=id&rclk=1,5000,gresiksatu.com,https://www.gresiksatu.com/pemandian-kalireco-konsep-wisata-segar-menyatu-dengan-alam/
20,Jembatan Gantung Selorejo Ngantang,4.4,55,Wisata Umum,-7.8786011,112.3616564,https://www.google.com/maps/place/Jembatan+Gantung+Selorejo+Ngantang/data=!4m7!3m6!1s0x2e7889be8d9a1e21:0x95c20369b458568a!8m2!3d-7.8786011!4d112.3616564!16s%2Fg%2F11dymvyq2s!19sChIJIR6ajb6JeC4RilZYtGkDwpU?authuser=0&hl=id&rclk=1,25000,paketoutboundmalang.com,https://paketoutboundmalang.com/waduk-selorejo/
